tile_id,temperature_1400_c,min_temperature_1400_c,max_temperature_1400_c,lat,lon,city,area,temperature_c,exceedance_h,threshold_c,area_reference_temperature_c,env_apparent_temperature_c,env_wet_bulb_c,env_relative_humidity_pct,env_heat_index_c,precipitation_mm,env_cloud_cover_context,solar_ghi,solar_dni,solar_dhi,fg_canopy_fraction,fg_vegetation_fraction,fg_building_fraction,fg_road_fraction,fg_impervious_fraction,fg_pervious_fraction,canopy_fraction,vegetation_fraction,building_fraction,road_fraction,impervious_fraction,pervious_fraction,canopy_geoid_legacy,blockgroup_area_km2,geoid_blockgroup,geoid_tract,population_acs_matched,population,poverty_fraction,no_vehicle_fraction,poverty_count,poverty_universe,households_total,no_vehicle_households,transit_stop_count,source_tile_id,source_exceedance_h,thermal_stress_index,vulnerability,exposure_multiplier,exposed_population,baseline_person_hours,equity_weighted_person_hours,high_vulnerability
miami::Little_Havana::10,31.0707,31.0707,31.0707,25.75181962630407,-80.22378764888401,miami,Little_Havana,31.0707,1.2994,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.257,0.257,0.5867,0.0127,0.5867,0.257,0.146766644,0.257,0.5867,0.0127,0.5867,0.257,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,10,10,1.2994,0.09212775549697755,0.46514464384819393,1.1384615384615384,40.14998241679949,56.97727388802498,76.85427921558977,False
miami::Little_Havana::11,31.0401,31.0401,31.0401,25.751814273305065,-80.22278412571073,miami,Little_Havana,31.0401,1.1569,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.257,0.257,0.5867,0.0127,0.5867,0.257,0.146766644,0.257,0.5867,0.0127,0.5867,0.257,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,11,11,1.1569,0.07163335890051682,0.46514464384819393,1.1523076923076923,40.63829301376057,50.382243526719606,67.95851656785133,False
miami::Little_Havana::12,31.02,31.02,31.02,25.75180891339138,-80.22178060282194,miami,Little_Havana,31.02,1.0629,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.257,0.257,0.5867,0.0127,0.5867,0.257,0.15342782,0.257,0.5867,0.0127,0.5867,0.257,120860065042,0.319361,120860065042,12086006504,True,31.469089838771797,0.1115902964959568,0.104191616766467,207,1855,835,87,12,12,1.0629,0.06648577563963823,0.31244776404757707,1.166153846153846,36.69780015044465,41.599442046565684,51.347681536372846,False
miami::Little_Havana::13,31.0143,31.0143,31.0143,25.75180354656302,-80.22077708021803,miami,Little_Havana,31.0143,1.0351,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.257,0.257,0.5867,0.0127,0.5867,0.257,0.15342782,0.257,0.5867,0.0127,0.5867,0.257,120860065042,0.319361,120860065042,12086006504,True,31.469089838771797,0.1115902964959568,0.104191616766467,207,1855,835,87,12,13,1.0351,0.06502601322237388,0.31244776404757707,1.166153846153846,36.69780015044465,40.4559641120274,49.936245758921395,False
miami::Little_Havana::14,31.0266,31.0266,31.0266,25.75179817282,-80.21977355789934,miami,Little_Havana,31.0266,1.0912,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.257,0.257,0.5867,0.0127,0.5867,0.257,0.15342782,0.257,0.5867,0.0127,0.5867,0.257,120860065042,0.319361,120860065042,12086006504,True,31.469089838771797,0.1115902964959568,0.104191616766467,207,1855,835,87,13,14,1.0912,0.06817602685962798,0.31244776404757707,1.18,37.13352600975072,43.282603251990416,53.42526770817251,False
miami::Little_Havana::15,31.0608,31.0608,31.0608,25.751792792162323,-80.21877003586629,miami,Little_Havana,31.0608,1.2487,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.257,0.257,0.5867,0.0127,0.5867,0.257,0.15342782,0.257,0.5867,0.0127,0.5867,0.257,120860065042,0.319361,120860065042,12086006504,True,31.469089838771797,0.1115902964959568,0.104191616766467,207,1855,835,87,11,15,1.2487,0.08499894004912999,0.31244776404757707,1.1523076923076923,36.262074291138575,49.12924260651437,60.641984107831654,False
miami::Little_Havana::16,31.1206,31.1206,31.1206,25.75178740459,-80.2177665141192,miami,Little_Havana,31.1206,1.5253,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.257,0.257,0.5867,0.0127,0.5867,0.257,0.15342782,0.257,0.5867,0.0127,0.5867,0.257,120860065042,0.319361,120860065042,12086006504,True,31.469089838771797,0.1115902964959568,0.104191616766467,207,1855,835,87,8,16,1.5253,0.12537370206892792,0.31244776404757707,1.1107692307692307,34.954896713220364,60.001216513836425,74.0616509687485,False
miami::Little_Havana::17,31.2098,31.2098,31.2098,25.75178201010303,-80.21676299265847,miami,Little_Havana,31.2098,1.9387,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.257,0.257,0.5867,0.0127,0.5867,0.257,0.15342782,0.257,0.5867,0.0127,0.5867,0.257,120860065042,0.319361,120860065042,12086006504,True,31.469089838771797,0.1115902964959568,0.104191616766467,207,1855,835,87,11,17,1.9387,0.1856718952129535,0.31244776404757707,1.1523076923076923,36.262074291138575,83.35425595825289,102.88714413175705,False
miami::Little_Havana::18,31.3309,31.3309,31.3309,25.75177660870143,-80.21575947148443,miami,Little_Havana,31.3309,2.5008,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.257,0.257,0.5867,0.0127,0.5867,0.257,0.15342782,0.257,0.5867,0.0127,0.5867,0.257,120860065042,0.319361,120860065042,12086006504,True,31.469089838771797,0.1115902964959568,0.104191616766467,207,1855,835,87,9,18,2.5008,0.26761191052531696,0.31244776404757707,1.1246153846153846,35.39062257252643,112.18982599435667,138.4799212049743,False
miami::Little_Havana::19,31.48,31.48,31.48,25.751771200385203,-80.21475595059748,miami,Little_Havana,31.48,3.1934,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.257,0.257,0.5867,0.0127,0.5867,0.257,0.15342782,0.257,0.5867,0.0127,0.5867,0.257,120860065042,0.319361,120860065042,12086006504,True,31.469089838771797,0.1115902964959568,0.104191616766467,207,1855,835,87,14,19,3.1934,0.3685460365108721,0.31244776404757707,1.18,37.13352600975072,162.28520249245742,200.31443898503989,False
miami::Little_Havana::20,31.6512,31.6512,31.6512,25.75176578515436,-80.21375242999797,miami,Little_Havana,31.6512,3.9888,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.5664,0.5664,0.1871,0.0974,0.1871,0.5664,0.178785591,0.5664,0.1871,0.0974,0.1871,0.5664,120860066011,0.233722,120860066081,12086006608,True,31.19090201179179,0.0494585894059116,0.1297653958944281,169,3417,1364,177,13,20,3.9888,0.4844536608465252,0.16685913820105602,1.18,36.805264373914305,217.9309178074164,245.20374165694938,False
miami::Little_Havana::21,31.8385,31.8385,31.8385,25.751760363008916,-80.21274890968627,miami,Little_Havana,31.8385,4.8593,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.5664,0.5664,0.1871,0.0974,0.1871,0.5664,0.200832634,0.5664,0.1871,0.0974,0.1871,0.5664,120860067022,0.478167,120860067152,12086006715,True,25.99510212959071,0.0623351714217214,0.0506263048016701,260,4171,1916,97,12,21,4.8593,0.6112885613422144,0.10812675292927094,1.166153846153846,30.31428832958424,237.35282936292649,256.60097241611794,False
miami::Little_Havana::22,32.0359,32.0359,32.0359,25.751754933948856,-80.21174538966274,miami,Little_Havana,32.0359,5.7769,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.5664,0.5664,0.1871,0.0974,0.1871,0.5664,0.200832634,0.5664,0.1871,0.0974,0.1871,0.5664,120860067022,0.478167,120860067152,12086006715,True,25.99510212959071,0.0623351714217214,0.0506263048016701,260,4171,1916,97,11,22,5.7769,0.7449773356977116,0.10812675292927094,1.1523076923076923,29.954356146251445,301.9566715310196,326.44386734450427,False
miami::Little_Havana::23,32.2375,32.2375,32.2375,25.751749497974203,-80.21074186992777,miami,Little_Havana,32.2375,6.7139,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.5664,0.5664,0.1871,0.0974,0.1871,0.5664,0.200832634,0.5664,0.1871,0.0974,0.1871,0.5664,120860067022,0.478167,120860067152,12086006715,True,25.99510212959071,0.0623351714217214,0.0506263048016701,260,4171,1916,97,10,23,6.7139,0.8814993715899251,0.10812675292927094,1.1384615384615384,29.59442396291865,373.8426418671759,404.15943509587447,False
miami::Little_Havana::24,32.4372,32.4372,32.4372,25.75174405508497,-80.20973835048171,miami,Little_Havana,32.4372,7.6425,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.5664,0.5664,0.1871,0.0974,0.1871,0.5664,0.200832634,0.5664,0.1871,0.0974,0.1871,0.5664,120860067022,0.478167,120860067152,12086006715,True,25.99510212959071,0.0623351714217214,0.0506263048016701,260,4171,1916,97,12,24,7.6425,0.9678903487935832,0.10812675292927094,1.166153846153846,30.31428832958424,455.91483110690353,492.8872738318184,False
miami::Little_Havana::25,32.6291,32.6291,32.6291,25.751738605281147,-80.20873483132492,miami,Little_Havana,32.6291,8.5349,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.5664,0.5664,0.1871,0.0974,0.1871,0.5664,0.200832634,0.5664,0.1871,0.0974,0.1871,0.5664,120860067022,0.478167,120860067152,12086006715,True,25.99510212959071,0.0623351714217214,0.0506263048016701,260,4171,1916,97,11,25,8.5349,1.0,0.10812675292927094,1.1523076923076923,29.954356146251445,511.31486854528293,552.7799808904768,False
miami::Little_Havana::26,32.8073,32.8073,32.8073,25.75173314856276,-80.2077313124578,miami,Little_Havana,32.8073,9.3633,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.5664,0.5664,0.1871,0.0974,0.1871,0.5664,0.200832634,0.5664,0.1871,0.0974,0.1871,0.5664,120860067022,0.478167,120860067152,12086006715,True,25.99510212959071,0.0623351714217214,0.0506263048016701,260,4171,1916,97,10,26,9.3633,1.0,0.10812675292927094,1.1384615384615384,29.59442396291865,554.2029397839924,599.146063041017,False
miami::Little_Havana::27,32.9656,32.9656,32.9656,25.751727684929804,-80.20672779388067,miami,Little_Havana,32.9656,10.0997,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.5664,0.5664,0.1871,0.0974,0.1871,0.5664,0.200832634,0.5664,0.1871,0.0974,0.1871,0.5664,120860067022,0.478167,120860067152,12086006715,True,25.99510212959071,0.0623351714217214,0.0506263048016701,260,4171,1916,97,5,27,10.0997,1.0,0.10812675292927094,1.0692307692307692,27.79476304625468,561.4375366765167,606.9673500365969,False
miami::Little_Havana::28,33.0983,33.0983,33.0983,25.75172221438229,-80.20572427559394,miami,Little_Havana,33.0983,10.7165,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.5664,0.5664,0.1871,0.0974,0.1871,0.5664,0.200832634,0.5664,0.1871,0.0974,0.1871,0.5664,120860067022,0.497845,120860067153,12086006715,True,19.44380279002501,0.0623351714217214,0.0506263048016701,260,4171,1916,97,7,28,10.7165,1.0,0.10812675292927094,1.096923076923077,21.328355983519742,457.13065379477865,494.20169373922676,False
miami::Little_Havana::29,33.2005,33.2005,33.2005,25.75171673692024,-80.20472075759794,miami,Little_Havana,33.2005,11.1919,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.5664,0.5664,0.1871,0.0974,0.1871,0.5664,0.200832634,0.5664,0.1871,0.0974,0.1871,0.5664,120860067022,0.497845,120860067153,12086006715,True,19.44380279002501,0.0623351714217214,0.0506263048016701,260,4171,1916,97,9,29,11.1919,1.0,0.10812675292927094,1.1246153846153846,21.866799753089666,489.46207231320847,529.1550307341529,False
miami::Little_Havana::30,31.3012,31.3012,31.3012,25.75276992486979,-80.23381714003926,miami,Little_Havana,31.3012,2.3254,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2438,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,0.15180788,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,120860065012,0.338566,120860065012,12086006501,True,35.975260362824386,0.0912581216774955,0.0784929356357927,309,3386,1274,100,8,30,2.3254,0.2441144756256353,0.22378622258179867,1.1107692307692307,39.96021227993724,115.60744365213154,135.01095849006805,False
miami::Little_Havana::31,31.3011,31.3011,31.3011,25.752764640807435,-80.2328136065036,miami,Little_Havana,31.3011,2.3328,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2438,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,0.15180788,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,120860065012,0.338566,120860065012,12086006501,True,35.975260362824386,0.0912581216774955,0.0784929356357927,309,3386,1274,100,13,31,2.3328,0.24475930847606592,0.22378622258179867,1.18,42.450807228132774,123.26757216229004,143.95676041806118,False
miami::Little_Havana::32,31.2968,31.2968,31.2968,25.752759349830043,-80.23181007324878,miami,Little_Havana,31.2968,2.32,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2438,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,0.15180788,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,120860065012,0.338566,120860065012,12086006501,True,35.975260362824386,0.0912581216774955,0.0784929356357927,309,3386,1274,100,13,32,2.32,0.24249839949600746,0.22378622258179867,1.18,42.450807228132774,122.36853928878296,142.90683416649983,False
miami::Little_Havana::33,31.2875,31.2875,31.2875,25.752754051937632,-80.23080654027517,miami,Little_Havana,31.2875,2.2838,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2438,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,0.15180788,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,120860065012,0.338566,120860065012,12086006501,True,35.975260362824386,0.0912581216774955,0.0784929356357927,309,3386,1274,100,14,33,2.2838,0.23683694857461218,0.22378622258179867,1.18,42.450807228132774,119.91029524071703,140.03599925615828,False
miami::Little_Havana::34,31.2725,31.2725,31.2725,25.752748747130205,-80.22980300758314,miami,Little_Havana,31.2725,2.2207,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2438,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,0.146766644,0.2438,0.5688,0.0810999999999999,0.5688,0.2438,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,14,34,2.2207,0.227278585357836,0.46514464384819393,1.18,41.614914207682716,113.41801771080249,152.984855301347,False
miami::Little_Havana::35,31.2513,31.2513,31.2513,25.75274343540777,-80.22879947517306,miami,Little_Havana,31.2513,2.1277,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2777,0.2777,0.4731,0.1039,0.4731,0.2777,0.146766644,0.2777,0.4731,0.1039,0.4731,0.2777,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,13,35,2.1277,0.2134234594091826,0.46514464384819393,1.18,41.614914207682716,107.44143105245269,144.92328568852773,False
miami::Little_Havana::36,31.2231,31.2231,31.2231,25.752738116770335,-80.2277959430453,miami,Little_Havana,31.2231,2.0013,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2777,0.2777,0.4731,0.1039,0.4731,0.2777,0.146766644,0.2777,0.4731,0.1039,0.4731,0.2777,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,13,36,2.0013,0.19474959050763854,0.46514464384819393,1.18,41.614914207682716,99.50343863950012,134.2160572852308,False
miami::Little_Havana::37,31.1878,31.1878,31.1878,25.752732791217912,-80.22679241120021,miami,Little_Havana,31.1878,1.8406,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2777,0.2777,0.4731,0.1039,0.4731,0.2777,0.146766644,0.2777,0.4731,0.1039,0.4731,0.2777,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,12,37,1.8406,0.17114982845574053,0.46514464384819393,1.166153846153846,41.12660361072164,88.65326241399974,119.58070504265503,False
miami::Little_Havana::38,31.1481,31.1481,31.1481,25.7527274587505,-80.22578887963816,miami,Little_Havana,31.1481,1.6581,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2777,0.2777,0.4731,0.1039,0.4731,0.2777,0.146766644,0.2777,0.4731,0.1039,0.4731,0.2777,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,7,38,1.6581,0.14444814425186855,0.46514464384819393,1.096923076923077,38.68505062591627,73.40911833717998,99.0185119902981,False
miami::Little_Havana::39,31.1076,31.1076,31.1076,25.75272211936811,-80.22478534835953,miami,Little_Havana,31.1076,1.4714,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2777,0.2777,0.4731,0.1039,0.4731,0.2777,0.146766644,0.2777,0.4731,0.1039,0.4731,0.2777,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,11,39,1.4714,0.11716105956993253,0.46514464384819393,1.1523076923076923,40.63829301376057,66.80085149495355,90.10489520298574,False
miami::Little_Havana::40,31.0702,31.0702,31.0702,25.752716773070752,-80.22378181736468,miami,Little_Havana,31.0702,1.2982,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.2777,0.2777,0.4731,0.1039,0.4731,0.2777,0.146766644,0.2777,0.4731,0.1039,0.4731,0.2777,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,9,40,1.2982,0.09189098572147064,0.46514464384819393,1.1246153846153846,39.66167181983842,56.2201373208526,75.833009134256,False
miami::Little_Havana::41,31.0397,31.0397,31.0397,25.75271141985844,-80.22277828665399,miami,Little_Havana,31.0397,1.156,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.257,0.257,0.5867,0.0127,0.5867,0.257,0.146766644,0.257,0.5867,0.0127,0.5867,0.257,120860065032,0.33686,120860065032,12086006503,True,35.26687644718874,0.1623290692545214,0.1113831089351285,368,2267,817,91,11,41,1.156,0.07153091943263887,0.46514464384819393,1.1523076923076923,40.63829301376057,50.33823672365226,67.89915761822924,False
miami::Little_Havana::42,31.0197,31.0197,31.0197,25.75270605973116,-80.2217747562278,miami,Little_Havana,31.0197,1.0624,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.257,0.257,0.5867,0.0127,0.5867,0.257,0.15342782,0.257,0.5867,0.0127,0.5867,0.257,120860065042,0.319361,120860065042,12086006504,True,31.469089838771797,0.1115902964959568,0.104191616766467,207,1855,835,87,11,42,1.0624,0.06640894603872977,0.31244776404757707,1.1523076923076923,36.262074291138575,41.083220932573056,50.71049132276436,False
miami::Little_Havana::43,31.014,31.014,31.014,25.75270069268894,-80.2207712260865,miami,Little_Havana,31.014,1.0352,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.257,0.257,0.5867,0.0127,0.5867,0.257,0.15342782,0.257,0.5867,0.0127,0.5867,0.257,120860065042,0.319361,120860065042,12086006504,True,31.469089838771797,0.1115902964959568,0.104191616766467,207,1855,835,87,12,43,1.0352,0.0649491836214654,0.31244776404757707,1.166153846153846,36.69780015044465,40.456953800264095,49.93746736656558,False
miami::Little_Havana::44,31.0265,31.0265,31.0265,25.75269531873177,-80.21976769623045,miami,Little_Havana,31.0265,1.0918,30.9,30.9143,33.0,24.6,72.3,38.0,0.1,56.0,844.0,700.53,193.32,0.257,0.257,0.5867,0.0127,0.5867,0.257,0.15342782,0.257,0.5867,0.0127,0.5867,0.257,120860065042,0.319361,120860065042,12086006504,True,31.469089838771797,0.1115902964959568,0.104191616766467,207,1855,835,87,12,44,1.0918,0.06815041699265849,0.31244776404757707,1.166153846153846,36.69780015044465,42.79721766837781,52.8261388943344,False
